,물품대분류,상품명,물품판매량,제품단가,UPC,Code,ItemNumber,상위상품명
2951,팬티,하기스 네이처메이드 팬티 밤부 5단계 남아 88매(팬티형) X 3,3,62400,LINER-2757,LINER,2757,하기스 네이처메이드 팬티 밤부 5단계 남아
2952,팬티,하기스 네이처메이드 팬티 밤부 5단계 여아 88매(팬티형),221,76470,LINER-2759,LINER,2759,하기스 네이처메이드 팬티 밤부 5단계 여아
2953,팬티,하기스 네이처메이드 팬티 밤부 5단계 여아 88매(팬티형) X2,23,103096,LINER-2761,LINER,2761,하기스 네이처메이드 팬티 밤부 5단계 여아
2954,팬티,하기스 네이처메이드 팬티 밤부 5단계 여아 88매(팬티형) X 3,3,124800,LINER-2760,LINER,2760,하기스 네이처메이드 팬티 밤부 5단계 여아
2955,팬티,하기스 네이처메이드 팬티 밤부 6단계 남아 76매(팬티형),64,81975,LINER-2762,LINER,2762,하기스 네이처메이드 팬티 밤부 6단계 남아
2956,팬티,하기스 네이처메이드 팬티 밤부 6단계 남아 76매(팬티형) X2,7,106971,LINER-2764,LINER,2764,하기스 네이처메이드 팬티 밤부 6단계 남아
2957,팬티,하기스 네이처메이드 팬티 밤부 6단계 남아 76매(팬티형) X 3,1,187200,LINER-2763,LINER,2763,하기스 네이처메이드 팬티 밤부 6단계 남아
2958,팬티,하기스 네이처메이드 팬티 밤부 6단계 여아 76매(팬티형),81,76604,LINER-2765,LINER,2765,하기스 네이처메이드 팬티 밤부 6단계 여아
2959,팬티,하기스 네이처메이드 팬티 밤부 6단계 여아 76매(팬티형) X2,5,74880,LINER-2767,LINER,2767,하기스 네이처메이드 팬티 밤부 6단계 여아
2960,팬티,하기스 네이처메이드 팬티 밤부 6단계 여아 76매(팬티형) X 3,1,187200,LINER-2766,LINER,2766,하기스 네이처메이드 팬티 밤부 6단계 여아
2961,팬티,하기스 리미티드 네이처메이드 팬티 3단계 공용 116매(팬티형),2,44970,LINER-2769,LINER,2769,하기스 리미티드 네이처메이드 팬티 3단계 공용
2962,팬티,하기스 리미티드 네이처메이드 팬티 4단계 공용 96매(팬티형),38,59171,LINER-2770,LINER,2770,하기스 리미티드 네이처메이드 팬티 4단계 공용
2963,팬티,하기스 리미티드 네이처메이드 팬티 5단계 공용 80매(팬티형),77,61323,LINER-2771,LINER,2771,하기스 리미티드 네이처메이드 팬티 5단계 공용
2964,팬티,하기스 리미티드 매직핏팬티 3단계 공용 116매(팬티형),1,36870,LINER-2772,LINER,2772,하기스 리미티드 매직핏팬티 3단계 공용
2965,팬티,하기스 리미티드 매직핏팬티 4단계 공용 96매(팬티형),10,47931,LINER-2773,LINER,2773,하기스 리미티드 매직핏팬티 4단계 공용
2966,팬티,하기스 리미티드 매직핏팬티 5단계 공용 80매(팬티형),21,47404,LINER-2774,LINER,2774,하기스 리미티드 매직핏팬티 5단계 공용
2967,팬티,하기스 매직팬티 컴포트핏 3단계 남아 184매(팬티형),82,73141,LINER-2775,LINER,2775,하기스 매직팬티 컴포트핏 3단계 남아
2968,팬티,하기스 매직팬티 컴포트핏 3단계 여아 184매(팬티형),74,72365,LINER-2777,LINER,2777,하기스 매직팬티 컴포트핏 3단계 여아
2969,팬티,하기스 매직팬티 컴포트핏 4단계 남아 120매(팬티형),1,51800,LINER-2779,LINER,2779,하기스 매직팬티 컴포트핏 4단계 남아
2970,팬티,하기스 매직팬티 컴포트핏 4단계 남아 144매(팬티형),67,73763,LINER-2780,LINER,2780,하기스 매직팬티 컴포트핏 4단계 남아
2971,팬티,하기스 매직팬티 컴포트핏 4단계 여아 144매(팬티형),87,80151,LINER-2782,LINER,2782,하기스 매직팬티 컴포트핏 4단계 여아
2972,팬티,하기스 매직팬티 컴포트핏 5단계 남아 120매(팬티형),74,77764,LINER-2784,LINER,2784,하기스 매직팬티 컴포트핏 5단계 남아
2973,팬티,하기스 매직팬티 컴포트핏 5단계 여아 120매(팬티형),66,75906,LINER-2785,LINER,2785,하기스 매직팬티 컴포트핏 5단계 여아
2974,팬티,하기스 매직팬티 컴포트핏 6단계 남아 104매(팬티형),30,85680,LINER-2786,LINER,2786,하기스 매직팬티 컴포트핏 6단계 남아
2975,팬티,하기스 매직팬티 컴포트핏 6단계 여아 104매(팬티형),18,75367,LINER-2787,LINER,2787,하기스 매직팬티 컴포트핏 6단계 여아
2976,팬티,하기스 매직팬티컴포트핏 3단계 남아용 120매(팬티형),20,37570,LINER-2788,LINER,2788,하기스 매직팬티컴포트핏 3단계 남아용
2977,팬티,하기스 매직팬티컴포트핏 3단계 여아용 120매(팬티형),23,36439,LINER-2789,LINER,2789,하기스 매직팬티컴포트핏 3단계 여아용
2978,팬티,하기스 매직핏 꿀벅지 아기용 팬티 3단계 공용 184매(팬티형),9,74560,LINER-2793,LINER,2793,하기스 매직핏 꿀벅지 아기용 팬티 3단계 공용
2979,팬티,하기스 매직핏 꿀벅지 아기용 팬티 4단계 공용 152매(팬티형),22,77949,LINER-2794,LINER,2794,하기스 매직핏 꿀벅지 아기용 팬티 4단계 공용
2980,팬티,하기스 매직핏팬티 3단계 남아 184매(팬티형),12,74560,LINER-2800,LINER,2800,하기스 매직핏팬티 3단계 남아
2981,팬티,하기스 매직핏팬티 3단계 여아 184매(팬티형),24,80773,LINER-2802,LINER,2802,하기스 매직핏팬티 3단계 여아
2982,팬티,하기스 매직핏팬티 4단계 남아 152매(팬티형),64,83880,LINER-2804,LINER,2804,하기스 매직핏팬티 4단계 남아
2983,팬티,하기스 매직핏팬티 4단계 남아 240매(팬티형),9,64900,LINER-2806,LINER,2806,하기스 매직핏팬티 4단계 남아
2984,팬티,하기스 매직핏팬티 4단계 여아 152매(팬티형),56,85211,LINER-2807,LINER,2807,하기스 매직핏팬티 4단계 여아
2985,팬티,하기스 매직핏팬티 4단계 여아 240매(팬티형),17,64900,LINER-2809,LINER,2809,하기스 매직핏팬티 4단계 여아
2986,팬티,하기스 매직핏팬티 5단계 남아 124매(팬티형),76,81427,LINER-2810,LINER,2810,하기스 매직핏팬티 5단계 남아
2987,팬티,하기스 매직핏팬티 5단계 여아 124매(팬티형),84,84324,LINER-2811,LINER,2811,하기스 매직핏팬티 5단계 여아
2988,팬티,하기스 매직핏팬티 6단계 남아 104매(팬티형),37,88666,LINER-2812,LINER,2812,하기스 매직핏팬티 6단계 남아
2989,팬티,하기스 매직핏팬티 6단계 여아 104매(팬티형),20,82016,LINER-2813,LINER,2813,하기스 매직핏팬티 6단계 여아
2990,팬티,하기스 매직핏팬티 6단계 여아 138매(팬티형),1,53300,LINER-2814,LINER,2814,하기스 매직핏팬티 6단계 여아
2991,팬티,하기스 매직핏팬티 6단계 여아 168매(팬티형),1,64900,LINER-2815,LINER,2815,하기스 매직핏팬티 6단계 여아
2992,팬티,하기스 맥스드라이 팬티 3단계 남아 116매(팬티형),260,49364,LINER-2831,LINER,2831,하기스 맥스드라이 팬티 3단계 남아
2993,팬티,하기스 맥스드라이 팬티 3단계 남아 116매(팬티형) X3,3,142080,LINER-2832,LINER,2832,하기스 맥스드라이 팬티 3단계 남아
2994,팬티,하기스 맥스드라이 팬티 3단계 남아 120매(팬티형),1,25900,LINER-2833,LINER,2833,하기스 맥스드라이 팬티 3단계 남아
2995,팬티,하기스 맥스드라이 팬티 3단계 여아 116매(팬티형),269,51233,LINER-2835,LINER,2835,하기스 맥스드라이 팬티 3단계 여아
2996,팬티,하기스 맥스드라이 팬티 3단계 여아 116매(팬티형) X2,1,94720,LINER-2836,LINER,2836,하기스 맥스드라이 팬티 3단계 여아
2997,팬티,하기스 맥스드라이 팬티 3단계 여아 116매(팬티형) X3,7,142080,LINER-2837,LINER,2837,하기스 맥스드라이 팬티 3단계 여아
2998,팬티,하기스 맥스드라이 팬티 4단계 남아 96매(팬티형),395,53355,LINER-2840,LINER,2840,하기스 맥스드라이 팬티 4단계 남아
2999,팬티,하기스 맥스드라이 팬티 4단계 남아 96매(팬티형) X2,4,94720,LINER-2841,LINER,2841,하기스 맥스드라이 팬티 4단계 남아
3000,팬티,하기스 맥스드라이 팬티 4단계 남아 96매(팬티형) X3,6,142080,LINER-2842,LINER,2842,하기스 맥스드라이 팬티 4단계 남아
3001,팬티,하기스 맥스드라이 팬티 4단계 여아 96매(팬티형),316,53355,LINER-2844,LINER,2844,하기스 맥스드라이 팬티 4단계 여아
3002,팬티,하기스 맥스드라이 팬티 4단계 여아 96매(팬티형) X2,1,94720,LINER-2845,LINER,2845,하기스 맥스드라이 팬티 4단계 여아
3003,팬티,하기스 맥스드라이 팬티 4단계 여아 96매(팬티형) X3,4,142080,LINER-2846,LINER,2846,하기스 맥스드라이 팬티 4단계 여아
3004,팬티,하기스 맥스드라이 팬티 5단계 남아 80매(팬티형),244,57647,LINER-2847,LINER,2847,하기스 맥스드라이 팬티 5단계 남아
3005,팬티,하기스 맥스드라이 팬티 5단계 남아 80매(팬티형) X2,1,94720,LINER-2848,LINER,2848,하기스 맥스드라이 팬티 5단계 남아
3006,팬티,하기스 맥스드라이 팬티 5단계 남아 80매(팬티형) X3,4,142080,LINER-2849,LINER,2849,하기스 맥스드라이 팬티 5단계 남아
3007,팬티,하기스 맥스드라이 팬티 5단계 여아 80매(팬티형),185,54528,LINER-2850,LINER,2850,하기스 맥스드라이 팬티 5단계 여아
3008,팬티,하기스 맥스드라이 팬티 5단계 여아 80매(팬티형) X2,2,94720,LINER-2851,LINER,2851,하기스 맥스드라이 팬티 5단계 여아
3009,팬티,하기스 맥스드라이 팬티 5단계 여아 80매(팬티형) X3,2,142080,LINER-2852,LINER,2852,하기스 맥스드라이 팬티 5단계 여아
3010,팬티,하기스 맥스드라이 팬티 6단계 남아 68매(팬티형),81,62562,LINER-2853,LINER,2853,하기스 맥스드라이 팬티 6단계 남아
3011,팬티,하기스 맥스드라이 팬티 6단계 남아 68매(팬티형) X2,1,94720,LINER-2854,LINER,2854,하기스 맥스드라이 팬티 6단계 남아
3012,팬티,하기스 맥스드라이 팬티 6단계 남아 68매(팬티형) X3,1,142080,LINER-2855,LINER,2855,하기스 맥스드라이 팬티 6단계 남아
3013,팬티,하기스 맥스드라이 팬티 6단계 여아 68매(팬티형),71,54697,LINER-2856,LINER,2856,하기스 맥스드라이 팬티 6단계 여아
3014,팬티,하기스 물놀이팬티 4단계 공용 10매 (팬티형),4,15625,LINER-2858,LINER,2858,하기스 물놀이팬티 4단계 공용
3015,팬티,하기스 물놀이팬티 4단계 남 2매(팬티형),17,5147,LINER-2859,LINER,2859,하기스 물놀이팬티 4단계 남
3016,팬티,하기스 물놀이팬티 4단계 남 2매X6팩(팬티형),9,25667,LINER-2860,LINER,2860,하기스 물놀이팬티 4단계 남
3017,팬티,하기스 물놀이팬티 4단계 여 2매(팬티형),8,4813,LINER-2861,LINER,2861,하기스 물놀이팬티 4단계 여
3018,팬티,하기스 물놀이팬티 4단계 여 2매X6팩(팬티형),8,21000,LINER-2862,LINER,2862,하기스 물놀이팬티 4단계 여
3019,팬티,하기스 물놀이팬티 5단계 남 2매 X 6팩(팬티형),9,28000,LINER-2864,LINER,2864,하기스 물놀이팬티 5단계 남
3020,팬티,하기스 물놀이팬티 5단계 남 2매(팬티형),6,5600,LINER-2865,LINER,2865,하기스 물놀이팬티 5단계 남
3021,팬티,하기스 물놀이팬티 5단계 남 10매(팬티형),15,15000,LINER-2863,LINER,2863,하기스 물놀이팬티 5단계 남
